IN_DATA_x,FAC_ID,OWN_ID,UNIT_ID,REGIME,U_CAP,U_SUM_HR,U_AGE,U_SUM_CF,PRE_RET_MNEMI,D_SCR,D_SNCR,D_LN,D_CM,D_NO,C_CM,C_NONE,C_LN,C_SC,C_SN,REG_x,PUB_x,UNREG_x,REG_y,PUB_y,UNREG_y,IN_DATA_y,MW_04,PRE_MW,CM_MW,LN_MW,SN_MW,SC_MW
1,13,16.0,1,2,117.0,11439.57,39.0,56.7931,0.4370632,0,0,0,0,1,0.0,117.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0,0,1,195061.4,202625.1,0.0,0.0,0.0,0.0
1,13,16.0,2,2,262.0,10321.25,31.0,68.8,0.4336576,0,0,0,0,1,0.0,262.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0,0,1,652070.4,661853.0,0.0,0.0,0.0,0.0
1,13,16.0,3,2,361.0,10865.22,27.0,61.96552,0.5007042,1,0,0,0,0,0.0,0.0,0.0,361.0,0.0,1.0,0.0,0.0,1,0,0,1,978612.1,892818.6,0.0,0.0,0.0,892818.6
1,14,67.0,1,1,340.0,11335.45,34.0,51.67857,1.048197,1,0,0,0,0,0.0,0.0,0.0,340.0,0.0,0.0,0.0,1.0,0,0,1,1,1011223.0,896496.5,0.0,0.0,0.0,896496.5
1,14,67.0,2,1,560.0,11068.7,27.0,58.55172,1.037468,1,0,0,0,0,0.0,0.0,0.0,560.0,0.0,0.0,0.0,1.0,0,0,1,1,1659887.0,1559036.0,0.0,0.0,0.0,1559036.0
1,15,67.0,1,1,76.0,11835.65,46.0,40.72414,0.5090244,0,0,0,0,1,0.0,76.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,1,1,145932.3,137851.2,0.0,0.0,0.0,0.0
1,15,67.0,2,1,77.0,11962.17,45.0,40.48276,0.5050054,0,0,0,0,1,0.0,77.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,1,1,145993.4,143119.4,0.0,0.0,0.0,0.0
1,16,67.0,1,1,62.0,13603.75,51.0,30.43333,0.461514,0,0,0,0,1,0.0,62.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,1,1,51342.63,77869.44,0.0,0.0,0.0,0.0
1,16,67.0,2,1,62.0,13603.75,51.0,30.43333,0.4760759,0,0,0,0,1,0.0,62.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,1,1,57830.35,79553.91,0.0,0.0,0.0,0.0
1,16,67.0,5,1,215.0,13940.83,39.0,47.55172,0.5077592,0,0,0,0,1,0.0,215.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,1,1,486510.0,415128.2,0.0,0.0,0.0,0.0
1,17,65.0,1,1,213.0,11993.75,41.0,52.83333,0.3070496,0,0,1,0,0,0.0,0.0,213.0,0.0,0.0,0.0,0.0,1.0,0,0,1,1,437430.5,445698.5,0.0,445698.5,0.0,0.0
1,17,65.0,2,1,319.0,11790.43,38.0,51.72414,0.3860101,0,0,1,0,0,0.0,0.0,319.0,0.0,0.0,0.0,0.0,1.0,0,0,1,1,774866.2,664727.8,0.0,664727.8,0.0,0.0
1,18,65.0,1,1,314.0,23724.35,40.0,51.5,0.8450449,0,0,0,1,0,314.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,1,1,653777.0,549475.1,0.0,0.0,0.0,0.0
1,19,63.0,1,1,584.0,13306.82,32.0,51.92857,0.5806915,1,0,0,0,0,0.0,0.0,0.0,584.0,0.0,0.0,0.0,1.0,0,0,1,1,1522734.0,1291602.0,0.0,0.0,0.0,1291602.0
1,19,63.0,2,1,584.0,12636.96,31.0,55.0,1.198587,1,0,0,0,0,0.0,0.0,0.0,584.0,0.0,0.0,0.0,1.0,0,0,1,1,1592940.0,1317730.0,0.0,0.0,0.0,1317730.0
1,20,78.0,1,1,769.0,27877.5,27.0,59.31034,0.7752445,0,0,0,1,0,769.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,1,1,2026152.0,1839985.0,0.0,0.0,0.0,0.0
1,20,78.0,3,1,769.0,12652.08,24.0,59.96667,0.7752445,0,0,0,1,0,769.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,1,1,1490140.0,1772131.0,0.0,0.0,0.0,0.0
1,21,65.0,1,1,100.0,13018.18,47.0,58.25,0.6640334,0,0,0,1,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,1,1,166613.9,189266.9,0.0,0.0,0.0,0.0
1,21,65.0,2,1,328.0,10996.96,41.0,70.89655,0.2927869,0,0,1,0,0,0.0,0.0,328.0,0.0,0.0,0.0,0.0,1.0,0,0,1,1,953578.4,857168.5,0.0,857168.5,0.0,0.0
1,21,65.0,3,1,361.0,10743.04,37.0,69.75862,0.4001333,0,0,1,0,0,0.0,0.0,361.0,0.0,0.0,0.0,0.0,1.0,0,0,1,1,836694.3,832806.3,0.0,832806.3,0.0,0.0
1,22,65.0,3,1,251.0,12862.61,42.0,62.64286,0.3562293,0,0,1,0,0,0.0,0.0,251.0,0.0,0.0,0.0,0.0,1.0,0,0,1,1,656790.6,533846.6,0.0,533846.6,0.0,0.0
1,22,65.0,4,1,510.0,10670.0,36.0,49.0,0.3150543,0,0,1,0,0,0.0,0.0,510.0,0.0,0.0,0.0,0.0,1.0,0,0,1,1,1199564.0,1173582.0,0.0,1173582.0,0.0,0.0
1,23,77.0,1,1,326.0,11798.7,40.0,51.62069,0.3650722,0,0,1,0,0,0.0,0.0,326.0,0.0,0.0,0.0,0.0,1.0,0,0,1,1,700436.3,647498.4,0.0,647498.4,0.0,0.0
1,24,17.0,1,1,169.0,11483.75,46.0,95.03448,0.1812434,0,0,0,0,1,0.0,169.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,1,1,597735.4,571150.8,0.0,0.0,0.0,0.0
1,24,17.0,2,1,169.0,11440.42,46.0,96.23333,0.1808639,0,0,0,0,1,0.0,169.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,1,1,595498.1,561718.5,0.0,0.0,0.0,0.0
1,24,17.0,3,1,169.0,11526.09,45.0,92.82758,0.1713013,0,0,0,0,1,0.0,169.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,1,1,573981.7,551724.6,0.0,0.0,0.0,0.0
1,24,17.0,4,1,169.0,11479.17,45.0,94.68965,0.1721143,0,0,0,0,1,0.0,169.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,1,1,585358.8,570995.1,0.0,0.0,0.0,0.0
1,24,17.0,5,1,169.0,11736.67,44.0,95.5,0.1795126,0,0,0,0,1,0.0,169.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,1,1,577007.6,582276.9,0.0,0.0,0.0,0.0
1,24,17.0,6,1,169.0,11661.25,44.0,91.79311,0.1801762,0,0,0,0,1,0.0,169.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,1,1,597172.2,584563.2,0.0,0.0,0.0,0.0
1,25,48.0,1,1,583.0,10097.39,29.0,75.27586,0.5897127,1,0,0,0,0,0.0,0.0,0.0,583.0,0.0,0.0,0.0,1.0,0,0,1,1,1898550.0,1823954.0,0.0,0.0,0.0,1823954.0
1,25,48.0,2,1,583.0,10122.08,26.0,78.4,0.6883695,1,0,0,0,0,0.0,0.0,0.0,583.0,0.0,0.0,0.0,1.0,0,0,1,1,1943584.0,1844711.0,0.0,0.0,0.0,1844711.0
1,25,48.0,3,1,595.0,10795.65,24.0,75.55173,0.2017389,1,0,0,0,0,0.0,0.0,0.0,595.0,0.0,0.0,0.0,1.0,0,0,1,1,1967227.0,1847407.0,0.0,0.0,0.0,1847407.0
1,26,48.0,1,1,445.0,10584.58,21.0,60.63334,0.390074,1,0,0,0,0,0.0,0.0,0.0,445.0,0.0,0.0,0.0,1.0,0,0,1,1,709749.3,1063055.0,0.0,0.0,0.0,1063055.0
1,27,48.0,1,1,74.0,10670.42,46.0,55.23333,0.5071284,0,0,0,1,0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,1,1,171280.4,173779.8,173779.8,0.0,0.0,0.0
1,27,48.0,2,1,215.0,11314.58,40.0,64.06667,0.5416945,0,0,1,0,0,0.0,0.0,215.0,0.0,0.0,0.0,0.0,1.0,0,0,1,1,597643.9,613560.1,0.0,613560.1,0.0,0.0
1,28,48.0,1,1,76.0,10983.33,44.0,57.66667,0.4239781,0,0,0,1,0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,1,1,144974.9,186223.6,186223.6,0.0,0.0,0.0
1,28,48.0,2,1,105.0,10991.25,43.0,60.06667,0.4154806,0,0,0,0,1,0.0,105.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,1,1,183402.7,230351.3,0.0,0.0,0.0,0.0
1,29,48.0,1,1,96.0,11287.08,45.0,61.56667,0.5576641,0,0,1,0,0,0.0,0.0,96.0,0.0,0.0,0.0,0.0,1.0,0,0,1,1,245690.3,241593.6,0.0,241593.6,0.0,0.0
1,29,48.0,2,1,362.0,10356.25,35.0,55.23333,0.4898505,0,0,1,0,0,0.0,0.0,362.0,0.0,0.0,0.0,0.0,1.0,0,0,1,1,750904.2,903962.5,0.0,903962.5,0.0,0.0
1,30,44.0,1,3,86.0,12290.0,31.0,51.93103,1.092445,1,0,0,0,0,0.0,0.0,0.0,86.0,0.0,0.0,1.0,0.0,0,1,0,1,190288.9,175743.4,0.0,0.0,0.0,175743.4
1,30,44.0,2,3,87.0,12512.61,27.0,54.27586,1.056853,1,0,0,0,0,0.0,0.0,0.0,87.0,0.0,0.0,1.0,0.0,0,1,0,1,189931.8,174723.0,0.0,0.0,0.0,174723.0
1,30,44.0,3,3,199.0,12460.42,21.0,63.6,0.3777637,1,0,0,0,0,0.0,0.0,0.0,199.0,0.0,0.0,1.0,0.0,0,1,0,1,498798.2,489286.7,0.0,0.0,0.0,489286.7
1,31,44.0,2,3,39.7,13734.09,34.0,56.14815,0.8194731,0,0,0,0,1,0.0,39.7,0.0,0.0,0.0,0.0,1.0,0.0,0,1,0,1,12221.51,50380.89,0.0,0.0,0.0,0.0
1,32,39.0,1,3,34.0,15065.22,36.0,33.55172,0.8792607,0,0,0,0,1,0.0,34.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1,0,1,112618.9,16881.61,0.0,0.0,0.0,0.0
